ticker,category,selected,rest
Ginos,Restaurant,0.04437,0.03648
Sorea,Travel,0.05379,0.05752
Petit Palace,Travel,0.00520,0.00297
Nanos,Food,0.00672,0.00425
La Nevera Roja,Restaurant,0.00707,0.00344
IMQ,Healthcare,0.04179,0.05565
La Balear,Travel,0.00115,0.00082
Converse,Apparel,0.00592,0.00432
Yelmo Cines,Entertainment,0.07022,0.05131
Arepa Ole,Restaurant,0.00058,0.00057
Pepephone,Telecom,0.25102,0.19682
MK2 Palacio de Hielo,Movies,0.00169,0.00113
Dideco,Retail Stores,0.01184,0.01004
JD Sports,Sports,0.00352,0.00482
Instant Money,Financial Services,0.07470,0.06109
Avis,Transportation,0.05644,0.04746
4 tickets,Tickets,0.00383,0.00298
Samsung,Electronics,0.04445,0.05020
Intel Security (McAfee),Cybersecurity,0.01061,0.00696
Bigmat,Home Improvement,0.00358,0.00595
La sureña,Restaurant,0.00255,0.00272
Gocco,Restaurant,0.01449,0.01440
Parkapp,Parking,0.00061,0.00070
Rumbo.es,Travel,0.10559,0.08977
Alteza,Accessories,0.00245,0.00416
Rituals,Beauty,0.03121,0.02539
Supercor Express,Grocery,0.12403,0.07213
Masymas,Grocery,0.06964,0.08443
Planeta Huerto,Garden,0.00564,0.00513
Santagloria,Restaurant,0.00807,0.00497
Pizzart,Restaurant,0.00039,0.00047
Cortefiel,Apparel,0.10502,0.11700
Fenix Directo,Insurance,0.04922,0.06758
Juanita Cruz,Apparel,0.00109,0.00084
Casa Ametller,Restaurant,0.10868,0.06309
Sixt,Transportation,0.07123,0.04199
Medicos sin fronteras,Non-Profit,0.06770,0.04804
Vivagym,Fitness,0.03082,0.03043
Electroprecio,Electronics,0.00746,0.01054
Unicef,Non-Profit,0.06305,0.04975
Xbox Live,Gaming,0.00600,0.00296
Trucco,Beauty,0.00423,0.00468
Lush,Beauty,0.02083,0.01370
Whitby,Apparel,0.00289,0.00141
Tako Away,Delivery,0.00090,0.00076
Hema,Retail Stores,0.00585,0.00269
Primavera Sound,Festivals,0.00485,0.00141
COS,Apparel,0.01587,0.00756
Adamo Telecom,Telecom,0.01744,0.01077
Balumba,E-commerce,0.04839,0.04351
Alain Afflelou,Eyewear,0.01519,0.01365
Zalando,E-commerce,0.17478,0.14846
Interzoo,Pet Supplies,0.00438,0.00177
El Perro y la Galleta,Restaurant,0.00156,0.00097
Dinosol,Attractions,0.00518,0.00325
Ole Lola,Apparel,0.00087,0.00059
Bershka,Apparel,0.12608,0.15316
Pelayo,Insurance,0.13276,0.16661
Pizzeria Carlos,Fast Food,0.00468,0.00555
New Yorker,Apparel,0.00217,0.00337
Primor,Retail Stores,0.11064,0.10455
KLM,Airlines,0.03582,0.02690
Hamburguesa Nostra,Restaurant,0.00404,0.00298
Unide,Education,0.01481,0.01803
Dialprix,Telecom,0.01043,0.01183
Transferwise,Financial Services,0.06967,0.08340
Equivalenza,Financial Services,0.00349,0.00616
Bacoa,Grocery,0.00452,0.00269
Aquona,Utilities,0.00850,0.01527
AVG,Cybersecurity,0.00187,0.00173
Cofidis,Financial Services,0.33996,0.42403
Record Go,Music,0.01220,0.01291
Fosters Hollywood,Entertainment,0.11402,0.10399
Punto Blanco,Apparel,0.00143,0.00115
AMV Hispania,Automotive,0.02160,0.02163
Muving,Transportation,0.01046,0.00849
Desigual,Apparel,0.01464,0.01465
Aucat,Fuel,0.01560,0.01183
Ulanka,Apparel,0.01851,0.01727
Zaplo,Financial Services,0.04636,0.05346
Wible,Financial Services,0.00620,0.00521
Banco Sabadell Vida,Insurance,0.07946,0.07531
Destinia.com,Travel,0.01275,0.01946
Zara,Apparel,1.11314,1.05637
Bankinter Vida,Insurance,0.03912,0.03631
Levi's,Apparel,0.03546,0.02602
NH,Travel,0.04232,0.02856
Bertiz,Education,0.00119,0.00103
Ocine,Entertainment,0.00931,0.00742
Arabat,Fashion,0.00116,0.00090
Luckia,Gambling,0.01190,0.02519
Volotea,Airlines,0.01440,0.01798
iTunes,Music,0.52291,0.20608
Direct Seguros,Insurance,0.08145,0.13299
ese O ese,Apparel,0.01393,0.00903
La Fabrica,Restaurant,0.00682,0.00687
Swarovski,Jewelry,0.00960,0.00886
Yoigo,Telecom,0.71934,0.67426
Central de Reservas,Travel,0.00439,0.01007
Autocine Madrid Race,Movies,0.00071,0.00071
Acciona Motosharing,Transportation,0.00841,0.00568
Terranova,Apparel,0.01052,0.00594
Vinoselección,Food,0.01546,0.01127
Spar,Grocery,0.10266,0.10334
Smassa,Restaurant,0.00441,0.00324
Calzedonia,Apparel,0.07413,0.06535
Party Fiesta,Retail Stores,0.00521,0.00420
Napapijri,Apparel,0.00325,0.00263
Leroy Merlin,Home Goods,0.89136,0.93114
Alliance Vending,Grocery,0.00175,0.00173
Avia,Airlines,0.00780,0.01351
Bicimad,Transportation,0.01269,0.00780
entradas.com,Entertainment,0.03022,0.02446
Allianz Global Assistance,Insurance,0.00519,0.00362
Retabet,Gambling,0.00572,0.00940
Chacabuco,Restaurant,0.00170,0.00166
Bosque Multicines,Movies,0.00152,0.00040
Ciralsa,Automotive,0.00109,0.00071
Bicing,Transportation,0.00821,0.00530
Flunch,Restaurant,0.00053,0.00071
Avast,Cybersecurity,0.00511,0.00454
Invicat,Home Goods,0.04235,0.03248
Zurich,Insurance,0.10112,0.10784
El Gran Barril,Restaurant,0.00282,0.00178
MasVision,Eyewear,0.01232,0.01033
EasyJet,Travel,0.09726,0.07608
Perfumerías Atalaya,Beauty,0.00097,0.00133
RACE,Automotive,0.01793,0.02535
Sportium,Gambling,0.01219,0.04078
Wonga,Financial Services,0.01267,0.01970
Emuasa,Utilities,0.02613,0.02607
Juteco,Restaurant,0.00981,0.00747
Poly,Retail Stores,0.00698,0.00622
Gadis,Grocery,0.07536,0.06502
Fracciona,Financial Services,0.13397,0.18037
Amovens,Transportation,0.00411,0.00496
L'occitane,Beauty,0.00676,0.00502
Ticketmaster,Entertainment,0.21593,0.13892
Lateral,Apparel,0.02421,0.01444
Pepper,Restaurant,0.05845,0.08411
Tartalia,Apparel,0.00051,0.00061
Jack&Jones,Apparel,0.02938,0.03167
Uvepan,Food,0.00031,0.00031
Iberia,Travel,0.46719,0.37295
Volkswagen,Automotive,0.05859,0.08257
Arag Seguros,Insurance,0.01638,0.01721
Ojala,Apparel,0.00171,0.00126
Betway,Gambling,0.00259,0.00997
Wallapop,E-commerce,0.06354,0.09629
Firefly,Travel,0.00370,0.00643
E.Leclerc Estaciones de servicio,Fuel,0.00758,0.01864
E.Leclerc,Grocery,0.12382,0.15991
Druni,Retail Stores,0.06618,0.07321
Avant Tarjeta,Financial Services,0.01234,0.02749
La Esquina,Restaurant,0.00443,0.00353
Xti Store,Apparel,0.00190,0.00298
Don Dino,Restaurant,0.00366,0.00578
Ace Europe,Insurance,0.00677,0.00488
Parkia,Parking,0.00180,0.00092
Isla Magica,Attractions,0.00148,0.00220
Telefonica Consumer Finance,Financial Services,0.01175,0.00850
Emivasa,Utilities,0.04151,0.04899
Dineo Credito,Financial Services,0.01833,0.02840
Cassa,Financial Services,0.00895,0.01069
El Horno,Restaurant,0.00481,0.00372
Shell,Fuel,0.10547,0.12472
Diesel,Apparel,0.02994,0.03999
Pans & Company,Fast Food,0.01100,0.00958
PC Componentes,Electronics,0.26936,0.29318
R,Apparel,0.02185,0.02315
Supersol,Grocery,0.14262,0.12707
Metro de Malaga,Transportation,0.00151,0.00198
Pepe Jeans,Apparel,0.01435,0.01426
Deichmann,Apparel,0.01836,0.02336
Marvimundo,Entertainment,0.01162,0.01351
El Corte Ingles,Retail Stores,3.24235,2.62064
El Sabroso,Restaurant,0.00122,0.00125
Alcampo Estacion de Servicio,Fuel,0.08842,0.13158
Iberia Express,Travel,0.03872,0.03054
Generali,Insurance,0.23616,0.35392
Norton,Cybersecurity,0.00655,0.00522
BQ,Electronics,0.00780,0.00766
MediaMarkt,Electronics,1.05015,0.95533
Misako,Beauty,0.01094,0.01088
Telepizza,Fast Food,0.11788,0.10096
BMW,Automotive,0.01362,0.01110
Cetelem,Financial Services,1.27492,1.15117
Alcampo,Grocery,0.85733,0.92585
Fiatc,Automotive,0.09351,0.08847
Amnistia Internacional,Non-Profit,0.01339,0.00721
Decathlon,Sports,1.03277,1.06114
Emasesa,Utilities,0.02019,0.03365
Perfumeria Avenida,Beauty,0.00195,0.00294
Uterque,Apparel,0.02724,0.01762
Etam,Apparel,0.01480,0.01349
eDreams.com,Travel,0.18130,0.15970
Tony Roma's,Restaurant,0.01099,0.00886
Mercedes-Benz Financial Services,Financial Services,0.09271,0.07470
Telyco,Telecom,0.00444,0.00466
Kutxabank,Banking,0.09755,0.12157
Facebook,Media,0.02359,0.01707
Blablacar,Transportation,0.03597,0.05131
Go Fit,Fitness,0.04569,0.04226
Vait,Telecom,0.00303,0.00158
Mc Donalds,Fast Food,0.37165,0.36191
Bip Bip,Apparel,0.00455,0.00564
Duty Free,Retail Stores,0.00680,0.00513
Hidraqua,Utilities,0.00693,0.00910
Renault,Automotive,0.01562,0.02002
Bricorama,Home Improvement,0.00349,0.00471
Betfair,Entertainment,0.03263,0.05155
Perfumeria Prieto,Beauty,0.00284,0.00227
Renatta&Go,Apparel,0.00487,0.00337
Ap. Est,Transportation,0.00475,0.00274
Carglass,Automotive,0.00277,0.00320
Springfield,Apparel,0.16166,0.18151
Pisamonas,Restaurant,0.00470,0.00500
Preventiva,Healthcare,0.00407,0.01250
Autoestradas de Galicia,Transportation,0.00076,0.00018
Juguettos,Retail Stores,0.03834,0.04577
Dinopolis,Attractions,0.00118,0.00144
Tiger,Retail Stores,0.03462,0.02579
Bingosoft,Gambling,0.00423,0.00840
El Fornet,Restaurant,0.01380,0.00766
HolaLuz,Utilities,0.15474,0.15393
OK Rent a Car,Rental Cars,0.00316,0.00256
Naturgy,Fuel,1.28801,1.38879
Coviran,Grocery,0.02997,0.03904
Negro-Rojo,Apparel,0.00308,0.00130
Zona Blava,Transportation,0.00889,0.00636
Parfois,Apparel,0.03025,0.03033
Repsol,Fuel,1.20380,1.17166
EDP,Fuel,0.33112,0.45511
Hesperia,Travel,0.01024,0.00670
Viagogo,Entertainment,0.03419,0.02375
Air France,Airlines,0.03121,0.02725
Timberland,Apparel,0.00507,0.00345
Enjoy Wellness,Healthcare,0.00810,0.00778
