valuedate,revenue
2019-12-15,5286
2019-12-16,10096
2019-12-17,8441
2019-12-18,7473
2019-12-19,7674
2019-12-20,9513
2019-12-21,6422
2019-12-22,6240
2019-12-23,9792
2019-12-24,9559
2019-12-25,6741
2019-12-26,8993
2019-12-27,6672
2019-12-28,6903
2019-12-29,5494
2019-12-30,10511
2020-01-01,8659
2020-01-02,13617
2020-01-03,11037
2020-01-04,6679
2020-01-05,7120
2020-01-06,6720
2020-01-07,20097
2020-01-08,10703
2020-01-09,8823
2020-01-10,9686
2020-01-11,5716
2020-01-12,6163
2020-01-13,10707
2020-01-14,10456
2020-01-15,8237
2020-01-16,7563
2020-01-17,7464
2020-01-18,5200
2020-01-19,5686
2020-01-20,11330
2020-01-21,10129
2020-01-22,9582
2020-01-23,8716
2020-01-24,7324
2020-01-25,5924
2020-01-26,5283
2020-01-27,9861
2020-01-28,10959
2020-01-29,8593
2020-01-30,8786
2020-01-31,6782
2020-02-01,8013
2020-02-02,7063
2020-02-03,14256
2020-02-04,12618
2020-02-05,10979
2020-02-06,9276
2020-02-07,8807
2020-02-08,6367
2020-02-09,6094
2020-02-10,11313
2020-02-11,10746
2020-02-12,10146
2020-02-13,7528
2020-02-14,7886
2020-02-15,5436
2020-02-16,5101
2020-02-17,9455
2020-02-18,9236
2020-02-19,8063
2020-02-20,9261
2020-02-21,8303
2020-02-22,6272
2020-02-23,5460
2020-02-24,10283
2020-02-25,9751
2020-02-26,7627
2020-02-27,7844
2020-02-28,9437
2020-02-29,12812
2020-03-01,8182
2020-03-02,15934
2020-03-03,15487
2020-03-04,12155
2020-03-05,10031
2020-03-06,9374
2020-03-07,6950
2020-03-08,6704
2020-03-09,10347
2020-03-10,11218
2020-03-11,9342
2020-03-12,9078
2020-03-13,9436
2020-03-14,6870
2020-03-15,6130
2020-03-16,10862
2020-03-17,10740
2020-03-18,7751
2020-03-19,8509
2020-03-20,10020
2020-03-21,6924
2020-03-22,6653
2020-03-23,10751
2020-03-24,10580
2020-03-25,8251
2020-03-26,7712
2020-03-27,8465
2020-03-28,7089
2020-03-29,5963
2020-03-30,9769
2020-03-31,9404
2020-04-01,12958
2020-04-02,10571
2020-04-03,12111
2020-04-04,8607
2020-04-05,7344
2020-04-06,12991
2020-04-07,11959
2020-04-08,9863
2020-04-09,9153
2020-04-10,7159
2020-04-11,6249
2020-04-12,6676
2020-04-13,14240
2020-04-14,11359
2020-04-15,10402
2020-04-16,8456
2020-04-17,8343
2020-04-18,6175
2020-04-19,6064
2020-04-20,12518
2020-04-21,11070
2020-04-22,10142
2020-04-23,8669
2020-04-24,7828
2020-04-25,6245
2020-04-26,5549
2020-04-27,9639
2020-04-28,11286
2020-04-29,8874
2020-04-30,12630
2020-05-01,9194
2020-05-02,8155
2020-05-03,8217
2020-05-04,18099
2020-05-05,13939
2020-05-06,11154
2020-05-07,9948
2020-05-08,9707
2020-05-09,6914
2020-05-10,7088
2020-05-11,11491
2020-05-12,11483
2020-05-13,10017
2020-05-14,9257
2020-05-15,9060
2020-05-16,6193
2020-05-17,5695
2020-05-18,9963
2020-05-19,10880
2020-05-20,10122
2020-05-21,9497
2020-05-22,9250
2020-05-23,5897
2020-05-24,5372
2020-05-25,11055
2020-05-26,9306
2020-05-27,8961
2020-05-28,9104
2020-05-29,8607
2020-05-30,6152
2020-05-31,4589
2020-06-01,14207
2020-06-02,11547
2020-06-03,12727
2020-06-04,11150
2020-06-05,10693
2020-06-06,7468
2020-06-07,6901
2020-06-08,10912
2020-06-09,11340
2020-06-10,10139
2020-06-11,9247
2020-06-12,9315
2020-06-13,6354
2020-06-14,6751
2020-06-15,10686
2020-06-16,10668
2020-06-17,8317
2020-06-18,8048
2020-06-19,8878
2020-06-20,6877
2020-06-21,6635
2020-06-22,11437
2020-06-23,11058
2020-06-24,8161
2020-06-25,8281
2020-06-26,7831
2020-06-27,6059
2020-06-28,6729
2020-06-29,10179
2020-06-30,13219
2020-07-01,13316
2020-07-02,12700
2020-07-03,12937
2020-07-04,8604
2020-07-05,6995
2020-07-06,12021
2020-07-07,9268
2020-07-08,9558
2020-07-09,7750
2020-07-10,8226
2020-07-11,6050
2020-07-12,6628
2020-07-13,9261
2020-07-14,9157
2020-07-15,7593
2020-07-16,6744
2020-07-17,7312
2020-07-18,6414
2020-07-19,6661
2020-07-20,10068
2020-07-21,8836
2020-07-22,9362
